case,Dice,FN,FP,IoU,TN,TP,n_pred,n_ref,Precision,Recall
liver_101,0.898073141237031,35706,42091,0.8150024968492141,178623822,342733,384824,378439,0.8906227262332911,0.9056492591936878
liver_11,0.7045232034462502,3353,2683,0.5438331318016929,122145872,7196,9879,10549,0.7284138070654924,0.6821499668214996
liver_112,0.6312033733376581,208,929,0.4611374407582938,196868034,973,1902,1181,0.5115667718191378,0.8238780694326842
liver_115,0.0,0,6,0.0,221773818,0,6,0,0.0,
liver_12,0.8746898263027295,85,117,0.7772877618522602,119274613,705,822,790,0.8576642335766423,0.8924050632911392
liver_120,0.7215496368038741,463,3217,0.5643939393939394,111140608,4768,7985,5231,0.5971195992485911,0.9114891990059262
liver_128,0.8154828710014461,31917,101416,0.6884517336536058,171014207,294636,396052,326553,0.7439326149091533,0.902260888737816
liver_17,0.8665846836419753,1737,9329,0.7645782363578343,216483939,35939,45268,37676,0.7939162322170187,0.9538963796581378
liver_19,0.6615645571665119,2147,14613,0.4942820071814369,143359627,16381,30994,18528,0.5285216493514874,0.8841213298791019
liver_24,0.8516713091922006,199,227,0.7416616130988478,72350095,1223,1450,1422,0.8434482758620689,0.860056258790436
liver_25,0.0,454,0,0.0,157548090,0,0,454,,0.0
liver_27,0.8126664161539224,11485,69776,0.6844465845238604,225448465,176258,246034,187743,0.7163969207507905,0.9388259482377506
liver_3,0.8388410336726703,115,914,0.7224170488265443,139981189,2678,3592,2793,0.7455456570155902,0.9588256355173649
liver_38,,0,0,,34603008,0,0,0,,
liver_40,0.8203981095454032,28222,13048,0.6954872793813824,31846040,94258,107306,122480,0.8784038171211302,0.769578706727629
liver_41,0.0,0,24428,0.0,29597844,0,24428,0,0.0,
liver_42,0.745949672526715,556,181,0.5948323254535459,32766181,1082,1263,1638,0.8566904196357878,0.6605616605616605
liver_44,0.4267999259670553,135258,1010,0.2712941176470588,31008136,50732,51742,185990,0.9804800742143713,0.2727673530834991
liver_5,0.7672413793103449,184,32,0.6223776223776224,140770756,356,388,540,0.9175257731958762,0.6592592592592592
liver_51,0.8631791359647781,11967,23833,0.7592921306008283,59357960,112928,136761,124895,0.8257324822134965,0.9041835141518876
liver_52,0.8139288239453217,4482,1834,0.6862394436164928,62107998,13814,15648,18296,0.8827965235173824,0.755028421512899
liver_58,0.5849056603773585,823,57,0.4133333333333333,55573028,620,677,1443,0.9158050221565731,0.42966042966042967
liver_64,0.9631080731655218,7758,5368,0.9288413268929476,60108659,171335,176703,179093,0.9696213420258852,0.956681724020481
liver_70,0.8678521016859141,27518,849,0.766553648139309,87172438,93147,93996,120665,0.9909677007532235,0.7719471263415241
liver_75,0.8121149897330595,330,768,0.6836646499567848,23327345,2373,3141,2703,0.7554918815663801,0.8779134295227525
liver_77,0.2826828344069723,3488,298,0.1646072374227714,24637004,746,1044,4234,0.7145593869731801,0.1761927255550307
liver_82,0.9166212152996294,10524,13324,0.8460763938193037,135897802,131086,144410,141610,0.9077349214043349,0.9256832144622555
