case,model,dice,gt_tumor_voxels,pred_tumor_voxels,TP,FN,inside_FP,outside_FP,FP_total,outside_FP_fraction,precision,recall
liver_101,A,0.898073141237031,378439,384824,342733,35706,39134,2957,42091,0.07025254805065216,0.8906227262332911,0.9056492591936878
liver_101,B,0.8080597703733018,378439,457962,337931,40508,31433,88598,120031,0.7381259841207688,0.7379018346500364,0.8929602921474795
liver_101,C,0.8994216491741508,378439,382172,342055,36384,37521,2596,40117,0.06471072114066356,0.8950289398490732,0.9038576890859558
liver_101,D,0.891515651934582,378439,380924,338492,39947,32730,9702,42432,0.22864819004524886,0.8886077012737449,0.8944426975021074
liver_11,A,0.7045232034462502,10549,9879,7196,3353,593,2090,2683,0.7789787551248603,0.7284138070654924,0.6821499668214996
liver_11,B,0.785730113006869,10549,7503,7092,3457,411,0,411,0.0,0.9452219112355058,0.6722912124371978
liver_11,C,0.7999564649542882,10549,7827,7350,3199,477,0,477,0.0,0.9390571100038329,0.696748506967485
liver_11,D,0.7819113388282468,10549,7407,7020,3529,387,0,387,0.0,0.9477521263669502,0.6654659209403735
liver_112,A,0.6312033733376581,1181,1902,973,208,809,120,929,0.12917115177610333,0.5115667718191378,0.8238780694326842
liver_112,B,0.6916780354706685,1181,1751,1014,167,680,57,737,0.0773405698778833,0.579097658480868,0.8585944115156647
liver_112,C,0.7080874696286011,1181,1700,1020,161,622,58,680,0.08529411764705883,0.6,0.8636748518204911
liver_112,D,0.7050724637681159,1181,1579,973,208,575,31,606,0.05115511551155116,0.6162127929069031,0.8238780694326842
liver_115,A,0.0,0,6,0,0,6,0,6,0.0,0.0,
liver_115,B,0.0,0,33,0,0,33,0,33,0.0,0.0,
liver_115,C,0.0,0,73,0,0,29,44,73,0.6027397260273972,0.0,
liver_115,D,0.0,0,101,0,0,10,91,101,0.900990099009901,0.0,
liver_12,A,0.8746898263027295,790,822,705,85,117,0,117,0.0,0.8576642335766423,0.8924050632911392
liver_12,B,0.7997852925389157,790,1073,745,45,328,0,328,0.0,0.6943150046598322,0.9430379746835443
liver_12,C,0.7218576476527007,790,1191,715,75,472,4,476,0.008403361344537815,0.600335852225021,0.9050632911392406
liver_12,D,0.8477127967573828,790,937,732,58,205,0,205,0.0,0.7812166488794023,0.9265822784810127
liver_120,A,0.7215496368038741,5231,7985,4768,463,3147,70,3217,0.021759403170655892,0.5971195992485911,0.9114891990059262
liver_120,B,0.7228128797083839,5231,7937,4759,472,3109,69,3178,0.02171176840780365,0.5995968249968502,0.9097686866755879
liver_120,C,0.7233815689261234,5231,7899,4749,482,3093,57,3150,0.018095238095238095,0.6012153437143942,0.9078570063085452
liver_120,D,0.7356956588433808,5231,7807,4796,435,2935,76,3011,0.02524078379275988,0.6143204816190598,0.9168419040336456
liver_128,A,0.8154828710014461,326553,396052,294636,31917,100334,1082,101416,0.010668927979805948,0.7439326149091533,0.902260888737816
liver_128,B,0.8031531150634663,326553,418488,299191,27362,117995,1302,119297,0.010913937483759021,0.7149332836305939,0.9162096198779371
liver_128,C,0.8129486503534707,326553,407454,298355,28198,108256,843,109099,0.007726926919586798,0.7322421672139677,0.9136495454030433
liver_128,D,0.8225672009174568,326553,388467,294076,32477,93294,1097,94391,0.011621870729200878,0.7570166835278157,0.900546006314442
liver_17,A,0.8665846836419753,37676,45268,35939,1737,9325,4,9329,0.0004287705005895594,0.7939162322170187,0.9538963796581378
liver_17,B,0.869687804995602,37676,45317,36089,1587,9214,14,9228,0.001517121803207629,0.7963678089900037,0.95787769402272
liver_17,C,0.8771005184649515,37676,43911,35780,1896,8111,20,8131,0.0024597220514081908,0.8148299970394662,0.9496761864316806
liver_17,D,0.8829711988285952,37676,42911,35578,2098,7331,2,7333,0.0002727396699849993,0.8291114166530726,0.9443146830873765
liver_19,A,0.6615645571665119,18528,30994,16381,2147,14613,0,14613,0.0,0.5285216493514874,0.8841213298791019
liver_19,B,0.5832920879587075,18528,38044,16499,2029,21545,0,21545,0.0,0.4336820523604248,0.8904900690846287
liver_19,C,0.625250047178713,18528,34462,16566,1962,17896,0,17896,0.0,0.48070338343682895,0.8941062176165803
liver_19,D,0.6686553746194552,18528,30415,16363,2165,14052,0,14052,0.0,0.5379911228012494,0.8831498272884283
liver_24,A,0.8516713091922006,1422,1450,1223,199,227,0,227,0.0,0.8434482758620689,0.860056258790436
liver_24,B,0.8405797101449275,1422,1545,1247,175,298,0,298,0.0,0.8071197411003236,0.8769338959212377
liver_24,C,0.7894949494949495,1422,1053,977,445,76,0,76,0.0,0.9278252611585945,0.6870604781997187
liver_24,D,0.38810289389067526,1422,4798,1207,215,202,3389,3591,0.9437482595377332,0.25156315131304713,0.8488045007032349
liver_25,A,0.0,454,0,0,454,0,0,0,0.0,,0.0
liver_25,B,0.0,454,0,0,454,0,0,0,0.0,,0.0
liver_25,C,0.0,454,0,0,454,0,0,0,0.0,,0.0
liver_25,D,0.0,454,0,0,454,0,0,0,0.0,,0.0
liver_27,A,0.8126664161539224,187743,246034,176258,11485,68924,852,69776,0.01221050217839945,0.7163969207507905,0.9388259482377506
liver_27,B,0.815007681733646,187743,245102,176386,11357,67871,845,68716,0.012296990511671227,0.7196432505650708,0.9395077313135509
liver_27,C,0.8154782499657489,187743,242900,175590,12153,66456,854,67310,0.012687564997771504,0.7228900782214903,0.935267892810917
liver_27,D,0.8209137007724753,187743,234277,173221,14522,60276,780,61056,0.012775157232704403,0.7393854283604451,0.9226495794783294
liver_3,A,0.8388410336726703,2793,3592,2678,115,912,2,914,0.002188183807439825,0.7455456570155902,0.9588256355173649
liver_3,B,0.8229007633587786,2793,3757,2695,98,1058,4,1062,0.003766478342749529,0.717327655043918,0.9649122807017544
liver_3,C,0.825556572125648,2793,3765,2707,86,1053,5,1058,0.004725897920604915,0.7189907038512616,0.9692087361260293
liver_3,D,0.8309268747088961,2793,3648,2676,117,969,3,972,0.0030864197530864196,0.7335526315789473,0.958109559613319
liver_38,A,,0,0,0,0,0,0,0,0.0,,
liver_38,B,,0,0,0,0,0,0,0,0.0,,
liver_38,C,,0,0,0,0,0,0,0,0.0,,
liver_38,D,,0,0,0,0,0,0,0,0.0,,
liver_40,A,0.8203981095454032,122480,107306,94258,28222,12212,836,13048,0.06407112201103618,0.8784038171211302,0.769578706727629
liver_40,B,0.818834028161468,122480,116428,97813,24667,17405,1210,18615,0.06500134300295461,0.8401157797093483,0.7986038536903984
liver_40,C,0.8189795564795564,122480,108400,94543,27937,13070,787,13857,0.05679439994226745,0.8721678966789668,0.7719056172436316
liver_40,D,0.8172481142241379,122480,115088,97076,25404,17086,926,18012,0.051410170997113036,0.8434936744056721,0.7925865447419987
liver_41,A,0.0,0,24428,0,0,2402,22026,24428,0.9016702145079417,0.0,
liver_41,B,0.0,0,27281,0,0,3652,23629,27281,0.8661339393717239,0.0,
liver_41,C,0.0,0,25155,0,0,2235,22920,25155,0.9111508646392368,0.0,
liver_41,D,0.0,0,27721,0,0,3517,24204,27721,0.873128675011724,0.0,
liver_42,A,0.745949672526715,1638,1263,1082,556,132,49,181,0.27071823204419887,0.8566904196357878,0.6605616605616605
liver_42,B,0.022562484005800562,1638,92146,1058,580,140,90948,91088,0.998463024767258,0.01148177891606798,0.645909645909646
liver_42,C,0.06305935928655007,1638,29983,997,641,123,28863,28986,0.9957565721382736,0.033252176233198816,0.6086691086691086
liver_42,D,0.04731394775751602,1638,40971,1008,630,48,39915,39963,0.9987988889722994,0.02460276781137878,0.6153846153846154
liver_44,A,0.42679992596705535,185990,51742,50732,135258,1010,0,1010,0.0,0.9804800742143713,0.2727673530834991
liver_44,B,0.5088539026862646,185990,66554,64254,121736,2207,93,2300,0.04043478260869565,0.9654415962977432,0.3454701865691704
liver_44,C,0.4523643159256947,185990,55877,54706,131284,1156,15,1171,0.012809564474807857,0.9790432557223903,0.29413409323081885
liver_44,D,0.6011697037792146,185990,82796,80793,105197,1926,77,2003,0.038442336495257114,0.9758080100487946,0.43439432227539115
liver_5,A,0.7672413793103449,540,388,356,184,32,0,32,0.0,0.9175257731958762,0.6592592592592592
liver_5,B,0.7434377646062659,540,641,439,101,202,0,202,0.0,0.6848673946957878,0.812962962962963
liver_5,C,0.7826982492276005,540,431,380,160,51,0,51,0.0,0.8816705336426914,0.7037037037037037
liver_5,D,0.7789678675754625,540,487,400,140,87,0,87,0.0,0.8213552361396304,0.7407407407407407
liver_51,A,0.8631791359647781,124895,136761,112928,11967,20323,3510,23833,0.1472747870599589,0.8257324822134965,0.9041835141518876
liver_51,B,0.8609380137317474,124895,133630,111287,13608,19092,3251,22343,0.14550418475585195,0.8327995210656289,0.8910444773609832
liver_51,C,0.859861154696936,124895,136403,112340,12555,20381,3682,24063,0.15301500228566678,0.8235889239972728,0.8994755594699547
liver_51,D,0.859466548708278,124895,132823,110750,14145,18634,3439,22073,0.15580120509219408,0.8338164323949918,0.8867448656871773
liver_52,A,0.8139288239453217,18296,15648,13814,4482,1638,196,1834,0.10687022900763359,0.8827965235173824,0.755028421512899
liver_52,B,0.8221729755630091,18296,15096,13727,4569,1143,226,1369,0.16508400292184075,0.9093137254901961,0.7502732837778749
liver_52,C,0.8230790432732061,18296,14357,13438,4858,776,143,919,0.15560391730141457,0.9359894128299784,0.7344774814167031
liver_52,D,0.8311438448820081,18296,14969,13824,4472,984,161,1145,0.1406113537117904,0.9235085844077761,0.7555749890686488
liver_58,A,0.5849056603773585,1443,677,620,823,57,0,57,0.0,0.9158050221565731,0.42966042966042967
liver_58,B,0.6008268259072118,1443,734,654,789,80,0,80,0.0,0.8910081743869209,0.45322245322245325
liver_58,C,0.5653642064640617,1443,630,586,857,44,0,44,0.0,0.9301587301587302,0.4060984060984061
liver_58,D,0.6332882273342354,1443,774,702,741,72,0,72,0.0,0.9069767441860465,0.4864864864864865
liver_64,A,0.9631080731655218,179093,176703,171335,7758,5130,238,5368,0.044336810730253355,0.9696213420258852,0.956681724020481
liver_64,B,0.9621180481087244,179093,175271,170470,8623,4643,158,4801,0.032909810456154966,0.9726081325490241,0.9518518311715143
liver_64,C,0.9600106895924309,179093,172651,168839,10254,3687,125,3812,0.03279118572927597,0.9779207765955599,0.9427448308979134
liver_64,D,0.9617971178298954,179093,174807,170190,8903,4023,594,4617,0.1286549707602339,0.9735880142099572,0.9502883976481493
liver_70,A,0.8678521016859141,120665,93996,93147,27518,846,3,849,0.0035335689045936395,0.9909677007532235,0.7719471263415241
liver_70,B,0.8723310536687146,120665,95010,94070,26595,939,1,940,0.0010638297872340426,0.9901063045995159,0.7795964032652385
liver_70,C,0.8646796175514879,120665,93220,92471,28194,749,0,749,0.0,0.9919652435099764,0.7663448390171135
liver_70,D,0.8640877981690003,120665,93098,92355,28310,743,0,743,0.0,0.9920191626028486,0.7653834997720963
liver_75,A,0.8121149897330595,2703,3141,2373,330,768,0,768,0.0,0.7554918815663801,0.8779134295227525
liver_75,B,0.7430122983548954,2703,3558,2326,377,863,369,1232,0.299512987012987,0.6537380550871276,0.8605253422123567
liver_75,C,0.811672037235947,2703,2883,2267,436,616,0,616,0.0,0.7863336801942421,0.8386977432482426
