case,model,dice,gt_tumor_voxels,pred_tumor_voxels,TP,FN,FP,inside_liver_FP,outside_liver_FP,recall,precision,pred_gt_volume_ratio
liver_42,A,0.745949672526715,1638,1263,1082,556,181,132,49,0.6605616605616605,0.8566904196357878,0.7710622710622711
liver_42,B,0.022562484005800562,1638,92146,1058,580,91088,140,90948,0.645909645909646,0.01148177891606798,56.25518925518926
liver_42,C,0.06305935928655007,1638,29983,997,641,28986,123,28863,0.6086691086691086,0.033252176233198816,18.304639804639805
liver_42,D,0.04731394775751602,1638,40971,1008,630,39963,48,39915,0.6153846153846154,0.02460276781137878,25.012820512820515
liver_24,A,0.8516713091922006,1422,1450,1223,199,227,227,0,0.860056258790436,0.8434482758620689,1.0196905766526019
liver_24,B,0.8405797101449275,1422,1545,1247,175,298,298,0,0.8769338959212377,0.8071197411003236,1.0864978902953586
liver_24,C,0.7894949494949495,1422,1053,977,445,76,76,0,0.6870604781997187,0.9278252611585945,0.740506329113924
liver_24,D,0.38810289389067526,1422,4798,1207,215,3591,202,3389,0.8488045007032349,0.25156315131304713,3.3741209563994374
liver_77,A,0.28268283440697234,4234,1044,746,3488,298,298,0,0.1761927255550307,0.7145593869731801,0.2465753424657534
liver_77,B,0.2985185185185185,4234,1166,806,3428,360,290,70,0.19036372224846482,0.6912521440823327,0.27538970240906946
liver_77,C,0.5887673231218089,4234,2621,2018,2216,603,455,148,0.47661785545583374,0.7699351392598245,0.6190363722248465
liver_77,D,0.24115692788743404,4234,883,617,3617,266,266,0,0.14572508266414738,0.6987542468856173,0.20854983467170524
liver_44,A,0.42679992596705535,185990,51742,50732,135258,1010,1010,0,0.2727673530834991,0.9804800742143713,0.2781977525673423
liver_44,B,0.5088539026862646,185990,66554,64254,121736,2300,2207,93,0.3454701865691704,0.9654415962977432,0.35783644281950644
liver_44,C,0.4523643159256947,185990,55877,54706,131284,1171,1156,15,0.29413409323081885,0.9790432557223903,0.3004301306521856
liver_44,D,0.6011697037792146,185990,82796,80793,105197,2003,1926,77,0.43439432227539115,0.9758080100487946,0.44516371847948816
