case,A,B,C,D,B-A,C-A,D-A
liver_101,0.898073141237031,0.8080597703733018,0.8994216491741508,0.891515651934582,-0.09001337086372918,0.001348507937119825,-0.006557489302448927
liver_11,0.7045232034462502,0.785730113006869,0.7999564649542882,0.7819113388282468,0.08120690956061882,0.09543326150803799,0.07738813538199663
liver_112,0.6312033733376581,0.6916780354706685,0.7080874696286011,0.7050724637681159,0.06047466213301045,0.07688409629094306,0.07386909043045786
liver_115,0.0,0.0,0.0,0.0,0.0,0.0,0.0
liver_12,0.8746898263027295,0.7997852925389157,0.7218576476527007,0.8477127967573828,-0.07490453376381379,-0.15283217865002885,-0.026977029545346753
liver_120,0.7215496368038741,0.7228128797083839,0.7233815689261234,0.7356956588433808,0.0012632429045098537,0.0018319321222493024,0.014146022039506767
liver_128,0.8154828710014461,0.8031531150634663,0.8129486503534707,0.8225672009174568,-0.012329755937979803,-0.0025342206479753715,0.007084329916010712
liver_17,0.8665846836419753,0.869687804995602,0.8771005184649515,0.8829711988285952,0.003103121353626781,0.010515834822976244,0.016386515186619932
liver_19,0.6615645571665119,0.5832920879587075,0.625250047178713,0.6686553746194552,-0.0782724692078044,-0.03631450998779884,0.0070908174529433765
liver_24,0.8516713091922006,0.8405797101449275,0.7894949494949495,0.3881028938906752,-0.011091599047273082,-0.062176359697251105,-0.46356841530152537
liver_25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
liver_27,0.8126664161539224,0.815007681733646,0.8154782499657489,0.8209137007724753,0.0023412655797235837,0.0028118338118264807,0.008247284618552841
liver_3,0.8388410336726703,0.8229007633587786,0.825556572125648,0.8309268747088961,-0.01594027031389167,-0.01328446154702223,-0.00791415896377412
liver_38,,,,,,,
liver_40,0.8203981095454032,0.818834028161468,0.8189795564795564,0.8172481142241379,-0.0015640813839351564,-0.001418553065846706,-0.003149995321265253
liver_41,0.0,0.0,0.0,0.0,0.0,0.0,0.0
liver_42,0.745949672526715,0.0225624840058005,0.06305935928655,0.047313947757516,-0.7233871885209144,-0.6828903132401649,-0.698635724769199
liver_44,0.4267999259670553,0.5088539026862646,0.4523643159256947,0.6011697037792146,0.08205397671920933,0.02556438995863941,0.17436977781215934
liver_5,0.7672413793103449,0.7434377646062659,0.7826982492276005,0.7789678675754625,-0.02380361470407899,0.015456869917255589,0.011726488265117685
liver_51,0.8631791359647781,0.8609380137317474,0.859861154696936,0.859466548708278,-0.0022411222330307456,-0.0033179812678421072,-0.003712587256500144
liver_52,0.8139288239453217,0.8221729755630091,0.8230790432732061,0.8311438448820081,0.008244151617687323,0.009150219327884401,0.017215020936686365
liver_58,0.5849056603773585,0.6008268259072118,0.5653642064640617,0.6332882273342354,0.015921165529853343,-0.019541453913296758,0.04838256695687693
liver_64,0.9631080731655218,0.9621180481087244,0.9600106895924309,0.9617971178298954,-0.0009900250567974611,-0.0030973835730909727,-0.001310955335626418
liver_70,0.8678521016859141,0.8723310536687146,0.8646796175514879,0.8640877981690003,0.004478951982800461,-0.003172484134426168,-0.003764303516913814
liver_75,0.8121149897330595,0.7430122983548954,0.811672037235947,0.8216888888888889,-0.06910269137816416,-0.00044295249711245877,0.009573899155829402
liver_77,0.2826828344069723,0.2985185185185185,0.5887673231218089,0.241156927887434,0.015835684111546233,0.3060844887148366,-0.041525906519538275
liver_82,0.9166212152996294,0.9179726075198464,0.917023520946706,0.920153113568664,0.0013513922202170736,0.0004023056470766617,0.003531898269034661
