case,tumor_dice,precision,recall,inside_fp,outside_fp,largest_outside_component,pred_tumor_voxels,gt_tumor_voxels
liver_101,0.898073141237031,0.8906227262332911,0.9056492591936878,39134,2957,867,384824,378439
liver_11,0.7045232034462502,0.7284138070654924,0.6821499668214996,593,2090,2090,9879,10549
liver_112,0.6312033733376581,0.5115667718191378,0.8238780694326842,809,120,120,1902,1181
liver_115,0.0,0.0,,6,0,0,6,0
liver_12,0.8746898263027295,0.8576642335766423,0.8924050632911392,117,0,0,822,790
liver_120,0.7215496368038741,0.5971195992485911,0.9114891990059262,3147,70,63,7985,5231
liver_128,0.8154828710014461,0.7439326149091533,0.902260888737816,100334,1082,936,396052,326553
liver_17,0.8665846836419753,0.7939162322170187,0.9538963796581378,9325,4,2,45268,37676
liver_19,0.6615645571665119,0.5285216493514874,0.8841213298791019,14613,0,0,30994,18528
liver_24,0.8516713091922006,0.8434482758620689,0.860056258790436,227,0,0,1450,1422
liver_25,0.0,,0.0,0,0,0,0,454
liver_27,0.8126664161539224,0.7163969207507905,0.9388259482377506,68924,852,405,246034,187743
liver_3,0.8388410336726703,0.7455456570155902,0.9588256355173649,912,2,1,3592,2793
liver_38,,,,0,0,0,0,0
liver_40,0.8203981095454032,0.8784038171211302,0.769578706727629,12212,836,465,107306,122480
liver_41,0.0,0.0,,2402,22026,20874,24428,0
liver_42,0.745949672526715,0.8566904196357878,0.6605616605616605,132,49,47,1263,1638
liver_44,0.42679992596705535,0.9804800742143713,0.2727673530834991,1010,0,0,51742,185990
liver_5,0.7672413793103449,0.9175257731958762,0.6592592592592592,32,0,0,388,540
liver_51,0.8631791359647781,0.8257324822134965,0.9041835141518876,20323,3510,860,136761,124895
liver_52,0.8139288239453217,0.8827965235173824,0.755028421512899,1638,196,170,15648,18296
liver_58,0.5849056603773585,0.9158050221565731,0.42966042966042967,57,0,0,677,1443
liver_64,0.9631080731655218,0.9696213420258852,0.956681724020481,5130,238,74,176703,179093
liver_70,0.8678521016859141,0.9909677007532235,0.7719471263415241,846,3,2,93996,120665
liver_75,0.8121149897330595,0.7554918815663801,0.8779134295227525,768,0,0,3141,2703
liver_77,0.28268283440697234,0.7145593869731801,0.1761927255550307,298,0,0,1044,4234
liver_82,0.9166212152996294,0.9077349214043349,0.9256832144622555,12820,504,383,144410,141610
