case,tumor_dice_B,precision_B,recall_B,inside_fp_B,outside_fp_B,tumor_dice_C,precision_C,recall_C,inside_fp_C,outside_fp_C,tumor_dice_D,precision_D,recall_D,inside_fp_D,outside_fp_D,D_minus_B,D_minus_C,C_minus_B
liver_101,0.8966052627750645,0.8974800239342127,0.8957322051902684,34084,4638,0.9013147996125024,0.9003594001735036,0.9022722288136265,35252,2536,0.900870510704033,0.9041350381671264,0.8976294726494891,33844,2174,0.004265247928968541,-0.0004442889084693702,0.004709536837437911
liver_11,0.656112737920937,0.6341204563544707,0.6796852782254242,464,3673,0.6675518520214276,0.6455897980871413,0.6910607640534648,422,3580,0.7887706342311034,0.9232235922206686,0.6885012797421557,604,0,0.13265789631016633,0.12121878220967575,0.011439114100490588
liver_112,0.7624750499001997,0.7212990936555891,0.8086367485182049,369,0,0.6889367816091954,0.5982532751091703,0.8120237087214225,603,41,0.6628261606235174,0.5525423728813559,0.8281117696867062,693,99,-0.09964888927668225,-0.026110620985677957,-0.0735382682910043
liver_115,,,,0,0,0.0,0.0,,9,0,0.0,0.0,,12,0,,0.0,
liver_12,0.864212432106216,0.825836216839677,0.9063291139240506,151,0,0.8433734939759037,0.7712486883525709,0.930379746835443,218,0,0.7937662337662338,0.6731277533039648,0.9670886075949368,371,0,-0.07044619833998222,-0.04960726020966988,-0.020838938130312346
liver_120,0.713162034609334,0.5863513180586352,0.909959854712292,3305,53,0.7182082000148821,0.5879629629629629,0.9225769451347736,3301,81,0.6945270672218917,0.5683339418279177,0.8927547314089084,3526,21,-0.018634967387442303,-0.023681132792990334,0.005046165405548031
liver_128,0.803385344800895,0.7167904567903607,0.9137781615847964,116957,942,0.7700506504390919,0.6695809220755413,0.9059938202986958,144565,1431,0.798487257954591,0.7083652434932911,0.914883648289864,122215,784,-0.004898086846303995,0.028436607515499035,-0.03333469436180303
liver_17,0.8718429120638473,0.8048292902066487,0.9510298333156386,8683,6,0.8697978452971795,0.7995504517737125,0.9535778745089712,9001,6,0.8752218497337804,0.8169811320754717,0.9424036521923772,7916,38,0.0033789376699330242,0.005424004436600849,-0.0020450667666678246
liver_19,0.6249353138476281,0.4845305673611317,0.8799114853195165,17344,0,0.6110935377630575,0.4663069714610251,0.8862802245250432,18794,0,0.5977289986619897,0.4494262874544564,0.8921092400690847,20249,0,-0.02720631518563843,-0.01336453910106783,-0.0138417760845706
liver_24,0.7386070507308684,0.9502212389380532,0.6040787623066104,45,0,0.8553590010405827,0.8439425051334702,0.8670886075949367,228,0,0.7827799662352279,0.6524390243902439,0.9781997187060478,741,0,0.04417291550435953,-0.07257903480535477,0.1167519503097143
liver_25,0.0,,0.0,0,0,0.5162337662337663,0.9814814814814816,0.3502202643171806,3,0,0.0,,0.0,0,0,0.0,-0.5162337662337663,0.5162337662337663
