case,tumor_dice,precision,recall,TP,FP,FN,inside_fp,outside_fp,largest_outside_component,pred_tumor_voxels,gt_tumor_voxels,pred_gt_ratio
liver_101,0.8966052627750645,0.8974800239342127,0.8957322051902684,338980,38722,39459,34084,4638,2857,377702,378439,0.9980525262988222
liver_11,0.656112737920937,0.6341204563544707,0.6796852782254242,7170,4137,3379,464,3673,3673,11307,10549,1.071855152147123
liver_112,0.7624750499001997,0.7212990936555891,0.8086367485182049,955,369,226,369,0,0,1324,1181,1.1210838272650296
liver_115,,,,0,0,0,0,0,0,0,0,
liver_12,0.864212432106216,0.825836216839677,0.9063291139240506,716,151,74,151,0,0,867,790,1.0974683544303798
liver_120,0.713162034609334,0.5863513180586352,0.9099598547122921,4760,3358,471,3305,53,44,8118,5231,1.5519021219652074
liver_128,0.803385344800895,0.7167904567903607,0.9137781615847963,298397,117899,28156,116957,942,840,416296,326553,1.2748190952157843
liver_17,0.8718429120638473,0.8048292902066487,0.9510298333156386,35831,8689,1845,8683,6,2,44520,37676,1.181654103408005
liver_19,0.6249353138476281,0.48453056736113176,0.8799114853195165,16303,17344,2225,17344,0,0,33647,18528,1.8160082037996546
liver_24,0.7386070507308684,0.9502212389380531,0.6040787623066104,859,45,563,45,0,0,904,1422,0.6357243319268636
liver_25,0.0,,0.0,0,0,454,0,0,0,0,454,0.0
liver_27,0.8163383990527655,0.7246427686462377,0.9346020890259557,175465,66675,12278,65756,919,519,242140,187743,1.2897418279243433
liver_3,0.8438495857233907,0.7602641401091014,0.9480844969566774,2648,835,145,832,3,1,3483,2793,1.247046186895811
liver_38,,,,0,0,0,0,0,0,0,0,
liver_40,0.8187246590490233,0.8730728323699422,0.7707462442847812,94401,13724,28079,12726,998,511,108125,122480,0.8827971913781842
liver_41,0.0,0.0,,0,25708,0,2934,22774,21600,25708,0,
liver_42,0.7361260293591121,0.8900432900432901,0.6275946275946276,1028,127,610,86,41,41,1155,1638,0.7051282051282052
liver_44,0.45036351564787436,0.9664088632461993,0.29359105328243457,54605,1898,131385,1898,0,0,56503,185990,0.30379590300553794
liver_5,0.8,0.9333333333333333,0.7,378,27,162,27,0,0,405,540,0.75
liver_51,0.8645303714415378,0.8318223195849584,0.8999159293806798,112395,22724,12500,19415,3309,1170,135119,124895,1.0818607630409545
liver_52,0.8147263315874912,0.9266355465756287,0.7269348491473546,13300,1053,4996,890,163,143,14353,18296,0.7844884127678181
liver_58,0.5484982767109798,0.9472789115646258,0.386001386001386,557,31,886,31,0,0,588,1443,0.4074844074844075
liver_64,0.9590999057627915,0.9846729323750485,0.9348215731491459,167420,2606,11673,2440,166,47,170026,179093,0.9493726722987498
liver_70,0.8676865171051651,0.9907134575084834,0.7718393900468239,93134,873,27531,869,4,3,94007,120665,0.7790742966063067
liver_75,0.8064240560396377,0.7492063492063492,0.8731039585645579,2360,790,343,790,0,0,3150,2703,1.1653718091009988
liver_77,0.5267249757045676,0.8381443298969072,0.38403401039206425,1626,314,2608,311,3,3,1940,4234,0.4581955597543694
liver_82,0.9206098241497231,0.932836037289954,0.9086999505684626,128681,9265,12929,9150,115,21,137946,141610,0.97412612103665
