case,tumor_dice,precision,recall,inside_fp,outside_fp,largest_outside_component,pred_tumor_voxels,gt_tumor_voxels
liver_101,0.9013147996125024,0.9003594001735036,0.9022722288136265,35252,2536,570,379243,378439
liver_11,0.6675518520214276,0.6455897980871413,0.6910607640534648,422,3580,3580,11292,10549
liver_112,0.6889367816091954,0.5982532751091703,0.8120237087214225,603,41,40,1603,1181
liver_115,0.0,0.0,,9,0,0,9,0
liver_12,0.8433734939759037,0.7712486883525709,0.930379746835443,218,0,0,953,790
liver_120,0.7182082000148821,0.5879629629629629,0.9225769451347735,3301,81,72,8208,5231
liver_128,0.7700506504390919,0.6695809220755413,0.9059938202986958,144565,1431,1340,441851,326553
liver_17,0.8697978452971795,0.7995504517737125,0.9535778745089712,9001,6,3,44934,37676
liver_19,0.6110935377630575,0.4663069714610251,0.8862802245250432,18794,0,0,35215,18528
liver_24,0.8553590010405827,0.8439425051334702,0.8670886075949367,228,0,0,1461,1422
liver_25,0.5162337662337663,0.9814814814814815,0.3502202643171806,3,0,0,162,454
liver_27,0.8136665288929963,0.7212646398946133,0.9332225435835158,66801,908,535,242915,187743
liver_3,0.8443804034582133,0.7636837532580365,0.9441460794844253,811,5,3,3453,2793
liver_38,,,,0,0,0,0,0
liver_40,0.8213127785939925,0.8376673543369925,0.8055845852384063,17596,1525,557,117789,122480
liver_41,0.0,0.0,,5767,23459,22201,29226,0
liver_42,0.7496339677891655,0.9360146252285192,0.6251526251526252,63,7,6,1094,1638
liver_44,0.5356678674998341,0.9772290340496432,0.36895532017850424,1489,110,94,70221,185990
liver_5,0.7995910020449898,0.8926940639269406,0.7240740740740741,47,0,0,438,540
liver_51,0.8623595505617978,0.8409358949971467,0.8849033187877817,18064,2841,943,131425,124895
liver_52,0.832784332514823,0.9209829116439263,0.760002186270223,971,222,186,15098,18296
liver_58,0.5868152274837511,0.8888888888888888,0.437976437976438,79,0,0,711,1443
liver_64,0.9581571997532472,0.9759607588778985,0.9409915518752827,3860,291,120,172676,179093
liver_70,0.862240138748916,0.992478687816985,0.7622177101893672,697,0,0,92670,120665
liver_75,0.7929471032745592,0.7260147601476015,0.8734739178690344,891,0,0,3252,2703
liver_77,0.45019061826620255,0.754863813229572,0.3207368918280586,411,30,26,1799,4234
liver_82,0.916701428446236,0.9101451292938433,0.9233528705599887,12634,275,88,143665,141610
