case,tumor_dice,precision,recall,inside_fp,outside_fp,largest_outside_component,pred_tumor_voxels,gt_tumor_voxels
liver_101,0.900870510704033,0.9041350381671263,0.8976294726494891,33844,2174,699,375716,378439
liver_11,0.7887706342311034,0.9232235922206686,0.6885012797421557,604,0,0,7867,10549
liver_112,0.6628261606235174,0.5525423728813559,0.8281117696867062,693,99,98,1770,1181
liver_115,0.0,0.0,,12,0,0,12,0
liver_12,0.7937662337662338,0.6731277533039648,0.9670886075949368,371,0,0,1135,790
liver_120,0.6945270672218917,0.5683339418279177,0.8927547314089084,3526,21,18,8217,5231
liver_128,0.798487257954591,0.7083652434932911,0.9148836482898641,122215,784,436,421757,326553
liver_17,0.8752218497337804,0.8169811320754717,0.9424036521923771,7916,38,9,43460,37676
liver_19,0.5977289986619897,0.44942628745445645,0.8921092400690847,20249,0,0,36778,18528
liver_24,0.7827799662352279,0.6524390243902439,0.9781997187060478,741,0,0,2132,1422
liver_25,0.0,,0.0,0,0,0,0,454
liver_27,0.8164395309383098,0.7257435710468204,0.9330414449540063,65439,758,289,241369,187743
liver_3,0.8347798642890958,0.746331828442438,0.9470103831006087,897,2,1,3544,2793
liver_38,,,,0,0,0,0,0
liver_40,0.8207531162305032,0.8785265216783869,0.7701094056172436,11993,1049,501,107365,122480
liver_41,0.0,0.0,,2790,22722,21492,25512,0
liver_42,0.7484706729039223,0.9114811568799299,0.6349206349206349,100,1,1,1141,1638
liver_44,0.5009768004889995,0.9748433540121585,0.33710952201731276,1504,114,64,64317,185990
liver_5,0.7135969141755063,0.744466800804829,0.6851851851851852,127,0,0,497,540
liver_51,0.8630834227985758,0.8336081043781844,0.8947195644341247,19052,3253,840,134051,124895
liver_52,0.8293575779398086,0.9194331714456789,0.7553563620463489,992,219,165,15031,18296
liver_58,0.5398230088495575,0.9289340101522843,0.3804573804573805,42,0,0,591,1443
liver_64,0.9623058102758936,0.9797764121792869,0.9454473374168728,3348,147,68,172818,179093
liver_70,0.8700129536685811,0.989178403260204,0.7764720507189325,1025,0,0,94718,120665
liver_75,0.8065900120130427,0.7522407170294494,0.8694043655197928,774,0,0,3124,2703
liver_77,0.5354306658521686,0.757562662057044,0.41402928672649975,409,152,152,2314,4234
liver_82,0.916973295671099,0.9251424916086278,0.9089471082550667,10109,306,130,139131,141610
